ticker,price,judgment,score,rsi,macd_diff,ma20,ma50,bb_pct,momentum_1w,momentum_1m,momentum_3m,vol_ratio,pe_ratio,eps_growth,revenue_growth,signals
9866.HK,44.24,BUY,30,57.7,0.475,41.93,39.39,64.7,-6.51,5.99,13.44,0.78,42.266476,,0.759,"['RSI=57.7 中立', 'MACD ゴールデンクロス(買いシグナル)', 'MA 上昇トレンド(買いシグナル)']"
1109.HK,28.46,HOLD,-15,34.6,-0.257,30.64,30.39,-8.3,-8.49,-10.67,3.19,0.77,7.621159,0.162,0.199,"['RSI=34.6 中立', 'MACD デッドクロス(売りシグナル)', 'BB下限付近 bb_pct=-8.3%(買いシグナル)', '1ヶ月モメンタム -10.7%(強い下落)']"
2057.HK,190.0,BUY,30,54.5,0.508,186.83,181.89,65.1,3.94,-0.99,15.08,0.45,11.353391,7.907,0.123,"['RSI=54.5 中立', 'MACD ゴールデンクロス(買いシグナル)', 'MA 上昇トレンド(買いシグナル)']"
9633.HK,41.12,SELL,-30,30.2,-0.232,44.7,47.17,-2.2,-5.17,-12.92,-14.62,0.57,23.90555,0.221,0.156,"['RSI=30.2 中立', 'MACD デッドクロス(売りシグナル)', 'MA 下降トレンド(売りシグナル)', 'BB下限付近 bb_pct=-2.2%(買いシグナル)', '1ヶ月モメンタム -12.9%(強い下落)']"
373220.KS,359500.0,SELL,-30,42.2,-792.028,383150.0,390870.0,24.2,-5.52,-9.22,-5.15,0.38,37.690098,,,"['RSI=42.2 中立', 'MACD デッドクロス(売りシグナル)', 'MA 下降トレンド(売りシグナル)']"
2601.HK,31.26,HOLD,-10,29.7,-0.115,34.3,36.82,-12.6,-9.34,-14.68,-13.17,0.96,5.4490776,0.353,0.546,"['RSI=29.7 売られすぎ(買いシグナル)', 'MACD デッドクロス(売りシグナル)', 'MA 下降トレンド(売りシグナル)', 'BB下限付近 bb_pct=-12.6%(買いシグナル)', '1ヶ月モメンタム -14.7%(強い下落)']"
033780.KS,151800.0,HOLD,-25,42.8,-845.205,158922.16,153350.24,24.5,-2.38,-11.73,6.19,0.39,12.171274,-0.127,0.101,"['RSI=42.8 中立', 'MACD デッドクロス(売りシグナル)', '1ヶ月モメンタム -11.7%(強い下落)']"
2423.HK,39.9,HOLD,-20,33.8,-0.213,43.28,45.64,-15.8,-8.82,-9.36,-4.04,0.79,14.957786,-0.837,-0.287,"['RSI=33.8 中立', 'MACD デッドクロス(売りシグナル)', 'MA 下降トレンド(売りシグナル)', 'BB下限付近 bb_pct=-15.8%(買いシグナル)']"
051910.KS,293000.0,SELL,-40,42.5,-2438.628,327650.0,328090.0,25.0,-4.72,-11.88,-13.44,0.25,11.878398,,,"['RSI=42.5 中立', 'MACD デッドクロス(売りシグナル)', 'MA 下降トレンド(売りシグナル)', '1ヶ月モメンタム -11.9%(強い下落)']"
042660.KS,121400.0,SELL,-40,40.8,-595.213,131975.0,136178.0,20.4,-8.52,-17.53,10.87,0.34,20.98178,0.51,0.021,"['RSI=40.8 中立', 'MACD デッドクロス(売りシグナル)', 'MA 下降トレンド(売りシグナル)', '1ヶ月モメンタム -17.5%(強い下落)']"
